World Rank,National Rank,Name,Image URLs,Affiliation,Country,H-Index,Citations,#DBLP
1,1,Anil K. Jain,https://s.research.com/images/2a967b4499197336b91a5320a50e13c0f8b608f6-65x65.jpeg,Michigan State University,United States,201,247416,867
2,1,Yoshua Bengio,https://s.research.com/images/aec914cd458a74e2b4545dd0746dd22e6bc2382c-65x65.jpeg,University of Montreal,Canada,197,637950,715
3,2,Jiawei Han,https://s.research.com/images/42382fdef4ef0953a4202224c4091830bc68678c-65x65.jpeg,University of Illinois at Urbana-Champaign,United States,184,205519,993
4,1,Andrew Zisserman,https://s.research.com/images/2a3913cff9795e86373ee05a7e526b7395f76c76-65x65.jpeg,University of Oxford,United Kingdom,175,301948,596
5,3,Michael I. Jordan,https://s.research.com/images/aa9fe06f07349099dbbc7a87dccf66a90014f20c-65x65.png,University of California,Berkeley,164,201905,612
6,5,Thomas S. Huang,https://s.research.com/images/ddd0e184e7830de1843f12b4226530c7bd2a5b06-65x65.jpeg,University of Illinois at Urbana-Champaign,United States,163,118676,1068
7,4,Philip S. Yu,https://s.research.com/images/20815a3765631eb9620ba3a4727f1207b14c0e68-65x65.jpeg,University of Illinois at Chicago,United States,163,127284,1531
8,6,Takeo Kanade,https://s.research.com/images/6f00a60e4fcd5fbf6818a59783cf9b7b4e1576a5-65x65.gif,Carnegie Mellon University,United States,157,127286,612
9,1,Rajkumar Buyya,https://s.research.com/images/2994e0b16d912fb948ecd569e9cb13e44187979c-65x65.jpeg,University of Melbourne,Australia,154,117166,845
10,1,Klaus-Robert Müller,https://s.research.com/images/967468fe98f892a9bc0489b2efcbb2aeaea7fecb-65x65.jpeg,Technical University of Berlin,Germany,151,102859,665
11,2,Geoffrey E. Hinton,https://s.research.com/images/3a5831dd52ce7c8706f5bc6fb2738d6b72d2f0c2-65x65.png,University of Toronto,Canada,151,608621,327
12,1,Francisco Herrera,https://s.research.com/images/900c497d066eeefc67149348271940e50a48fc32-65x65.jpeg,University of Granada,Spain,150,98892,833
13,7,Scott Shenker,https://s.research.com/images/2c9cc7b158648c0fb484ff30e10ade6d6ccdc013-65x65.gif,University of California,Berkeley,149,157984,367
14,8,Sebastian Thrun,https://s.research.com/images/4d80db997036e941703dd7f9092340d5fa5c6623-65x65.jpeg,Stanford University,United States,146,114187,360
15,9,Eric Horvitz,https://s.research.com/images/f815cb3d9204c83afd623bb38a483512ddb33d33-65x65.jpeg,Microsoft (United States),United States,145,73100,616
16,10,Trevor Darrell,https://s.research.com/images/0e56a8e14a6cb525c2140d99f97cd05b853575e4-65x65.jpeg,University of California,Berkeley,144,167950,487
17,11,Jitendra Malik,https://s.research.com/images/2f09aea5c6b3b5def88ee0c3819fe63951ae3fb6-65x65.jpeg,University of California,Berkeley,143,171887,367
